forex_date,forex_volume,forex_vwap,forex_transactions,forex_open_price,forex_close_price,forex_highest_price,forex_lowest_price,forex_diff,forex_percent_inc
2023-08-24 00:00:00,124121,1.07940,124121,1.07983,1.07940,1.08411,1.07650,.00956,.934
2023-08-26 00:00:00,3378,1.07970,3378,1.07638,1.07966,1.08008,1.07638,.00611,.934
2023-08-27 00:00:00,169067,1.08090,169067,1.07969,1.08256,1.08300,1.07950,.00942,.934
2023-08-28 00:00:00,195837,1.08320,195837,1.08256,1.08692,1.08930,1.07810,.01229,.934
2023-08-29 00:00:00,186346,1.09010,186346,1.08691,1.09294,1.09456,1.08540,.01664,1.869
2023-08-30 00:00:00,187058,1.08730,187058,1.09292,1.08420,1.09396,1.08330,.02265,1.869
2023-08-31 00:00:00,171695,1.08320,171695,1.08419,1.07960,1.08818,1.07696,.01392,.934
2023-09-02 00:00:00,1,1.07960,1,1.07960,1.07960,1.07960,1.07960,.00933,.934
2023-09-03 00:00:00,94596,1.07940,94596,1.07780,1.07909,1.08090,1.07730,.00753,.934
2023-09-04 00:00:00,176156,1.07460,176156,1.07910,1.07230,1.07983,1.07050,.00883,.934
2023-09-05 00:00:00,154924,1.07260,154924,1.07248,1.07236,1.07490,1.07018,.00221,.000
2023-09-06 00:00:00,144798,1.07060,144798,1.07239,1.06950,1.07320,1.06850,.00212,.000
2023-09-07 00:00:00,154246,1.07100,154246,1.06975,1.07120,1.07440,1.06920,-.00052,.000
2023-09-08 00:00:00,1,1.07120,1,1.07120,1.07120,1.07120,1.07120,.00093,.000
2023-09-09 00:00:00,4631,1.07120,4631,1.07107,1.07160,1.07220,1.07065,.00080,.000
2023-09-10 00:00:00,166078,1.07340,166078,1.07162,1.07475,1.07594,1.07080,.00135,.000
2023-09-11 00:00:00,164181,1.07280,164181,1.07472,1.07529,1.07687,1.07040,.00445,.000
2023-09-12 00:00:00,188768,1.07410,188768,1.07532,1.07328,1.07650,1.07109,.00505,.934
2023-09-13 00:00:00,187083,1.06950,187083,1.07328,1.06348,1.07540,1.06280,.00301,.000
2023-09-14 00:00:00,173473,1.06600,173473,1.06354,1.06720,1.06880,1.06320,-.00673,-.934
2023-09-16 00:00:00,2638,1.06650,2638,1.06548,1.06677,1.06690,1.06542,-.00479,.000
2023-09-17 00:00:00,165566,1.06730,165566,1.06677,1.06910,1.06990,1.06530,-.00350,.000
2023-09-18 00:00:00,159054,1.06880,159054,1.06919,1.06813,1.07180,1.06738,-.00108,.000
