dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc,netflix_growth
2024-01-16,490,481,494,478,192,64.43,260
2024-01-17,484,480,486,475,186,62.42,261
2024-01-18,480,485,485,478,182,61.07,262
2024-01-19,484,482,485,476,186,62.42,263
2024-01-22,487,485,489,479,189,63.42,264
2024-01-23,492,492,498,481,194,65.10,265
2024-01-24,537,544,562,537,239,80.20,266
2024-01-25,551,562,563,548,253,84.90,267
2024-01-26,561,570,579,558,263,88.26,268
2024-01-29,571,575,578,562,273,91.61,269
2024-01-30,567,562,570,560,269,90.27,270
2024-01-31,562,564,572,562,264,88.59,271
2024-02-01,567,567,572,563,269,90.27,272
2024-02-02,564,564,567,562,266,89.26,273
2024-02-05,562,562,575,557,264,88.59,274
2024-02-06,564,555,566,554,266,89.26,275
2024-02-07,558,559,567,554,260,87.25,276
2024-02-08,560,558,563,555,262,87.92,277
2024-02-09,565,561,566,558,267,89.60,278
2024-02-12,560,557,568,557,262,87.92,279
2024-02-13,550,554,559,549,252,84.56,280
2024-02-14,567,579,581,564,269,90.27,281
2024-02-15,581,593,593,580,283,94.97,282
2024-02-16,596,583,597,577,298,100.00,283
2024-02-20,580,575,586,569,282,94.63,284
2024-02-21,573,573,575,567,275,92.28,285
2024-02-22,582,588,590,578,284,95.30,286
2024-02-23,586,583,592,579,288,96.64,287
2024-02-26,583,587,590,583,285,95.64,288
2024-02-27,595,601,605,592,297,99.66,289
2024-02-28,595,596,598,590,297,99.66,290
2024-02-29,604,602,604,595,306,102.68,291
2024-03-01,599,619,620,599,301,101.01,292
2024-03-04,621,615,624,615,323,108.39,293
2024-03-05,610,598,610,592,312,104.70,294
2024-03-06,602,597,607,593,304,102.01,295
2024-03-07,599,608,610,595,301,101.01,296
2024-03-08,608,604,616,600,310,104.03,297
2024-03-11,608,600,611,600,310,104.03,298
2024-03-12,600,611,615,596,302,101.34,299
2024-03-13,613,609,614,607,315,105.70,300
2024-03-14,615,613,620,607,317,106.38,301
2024-03-15,622,605,622,603,324,108.72,302
2024-03-18,613,618,627,610,315,105.70,303
2024-03-19,615,620,621,608,317,106.38,304
2024-03-20,619,627,629,618,321,107.72,305
2024-03-21,630,622,634,622,332,111.41,306
2024-03-22,624,628,629,621,326,109.40,307
2024-03-25,627,627,630,623,329,110.40,308
2024-03-26,625,629,634,619,327,109.73,309
2024-03-27,629,613,631,610,331,111.07,310
2024-03-28,614,607,615,601,316,106.04,311
2024-04-01,608,614,615,605,310,104.03,312
2024-04-02,611,614,615,605,313,105.03,313
2024-04-03,612,630,630,611,314,105.37,314
2024-04-04,633,617,638,616,335,112.42,315
2024-04-05,624,636,637,622,326,109.40,316
2024-04-08,636,628,639,628,338,113.42,317
2024-04-09,631,618,631,615,333,111.74,318
2024-04-10,610,618,620,609,312,104.70,319
2024-04-11,624,628,631,617,326,109.40,320
2024-04-12,628,622,633,618,330,110.74,321
2024-04-15,630,607,630,603,332,111.41,322
2024-04-16,607,617,622,607,309,103.69,323
2024-04-17,620,613,620,607,322,108.05,324
2024-04-18,612,610,621,605,314,105.37,325
2024-04-19,567,555,579,552,269,90.27,326
2024-04-22,550,554,558,542,252,84.56,327
2024-04-23,556,577,579,555,258,86.58,328
2024-04-24,574,555,576,551,276,92.62,329
2024-04-25,549,564,566,545,251,84.23,330
2024-04-26,558,561,562,553,260,87.25,331
2024-04-29,559,559,559,554,261,87.58,332
2024-04-30,560,550,560,549,262,87.92,333
2024-05-01,547,551,560,544,249,83.56,334
2024-05-02,556,565,565,555,258,86.58,335
2024-05-03,566,579,580,565,268,89.93,336
2024-05-06,581,596,597,580,283,94.97,337
2024-05-07,596,606,606,591,298,100.00,338
2024-05-08,601,609,618,601,303,101.68,339
2024-05-09,614,612,615,605,316,106.04,340
2024-05-10,619,610,623,605,321,107.72,341
2024-05-13,614,616,618,606,316,106.04,342
2024-05-14,615,613,621,608,317,106.38,343
2024-05-15,618,613,624,609,320,107.38,344
2024-05-16,615,610,618,609,317,106.38,345
2024-05-17,617,621,625,614,319,107.05,346
2024-05-20,620,640,644,619,322,108.05,347
2024-05-21,636,650,650,634,338,113.42,348
2024-05-22,647,640,649,638,349,117.11,349
2024-05-23,642,635,642,630,344,115.44,350
2024-05-24,639,646,652,637,341,114.43,351
2024-05-28,647,649,649,643,349,117.11,352
2024-05-29,644,654,664,643,346,116.11,353
2024-05-30,653,647,656,644,355,119.13,354
2024-05-31,644,641,648,628,346,116.11,355
2024-06-03,645,633,646,627,347,116.44,356
2024-06-04,633,631,635,626,335,112.42,357
2024-06-05,634,650,651,628,336,112.75,358
2024-06-06,644,648,657,644,346,116.11,359
2024-06-07,649,641,650,640,351,117.79,360
2024-06-10,641,644,644,635,343,115.10,361
2024-06-11,640,648,650,640,342,114.77,362
2024-06-12,652,650,655,643,354,118.79,363
2024-06-13,644,653,655,642,346,116.11,364
2024-06-14,655,669,675,652,357,119.80,365
2024-06-17,669,675,682,665,371,124.50,366
2024-06-18,675,685,687,674,377,126.51,367
2024-06-20,681,679,689,673,383,128.52,368
2024-06-21,683,686,686,678,385,129.19,369
2024-06-24,685,669,685,664,387,129.87,370
2024-06-25,673,672,673,662,375,125.84,371
2024-06-26,672,677,682,670,374,125.50,372
2024-06-27,679,684,688,678,381,127.85,373
2024-06-28,679,674,687,673,381,127.85,374
2024-07-01,674,673,675,663,376,126.17,375
